date,volume_km3
2016-02-29,0.0880595
2016-03-31,
2016-04-30,0.0294595
2016-05-31,0.018992
2016-06-30,
2016-07-31,2.785309
2016-08-31,1.004617
2016-09-30,0.825193
2016-10-31,0.8535885
2016-11-30,0.397256
2016-12-31,
2017-01-31,0.160258
2017-02-28,0.371432
2017-03-31,0.031456
2017-04-30,0.018601
2017-05-31,0.0280455
2017-06-30,0.409174
2017-07-31,1.207926
2017-08-31,1.853674
2017-09-30,
2017-10-31,
2017-11-30,0.402433
2017-12-31,0.276224
2018-01-31,0.5300775
2018-02-28,0.316028
2018-03-31,0.028697
2018-04-30,0.0309095
2018-05-31,0.050011
2018-06-30,0.3798515
2018-07-31,2.065619
2018-08-31,0.778486
2018-09-30,0.6943365
2018-10-31,
2018-11-30,
2018-12-31,0.111704
2019-01-31,0.508539
2019-02-28,0.6939890000000001
2019-03-31,0.031381
2019-04-30,0.027776
2019-05-31,0.012984
2019-06-30,0.061081
2019-07-31,1.3825075
2019-08-31,1.05198
2019-09-30,0.903289
2019-10-31,0.669107
2019-11-30,0.389927
2019-12-31,0.197746
2020-01-31,0.2198255
2020-02-29,1.050603
2020-03-31,0.065858
2020-04-30,0.017571
2020-05-31,0.028211
2020-06-30,0.6868070000000001
2020-07-31,3.417817
2020-08-31,1.65438
2020-09-30,1.789121
2020-10-31,1.272571
2020-11-30,0.44693649999999996
2020-12-31,0.370109
2021-01-31,0.255643
2021-02-28,0.5756895000000001
2021-03-31,0.077483
2021-04-30,0.0284205
2021-05-31,0.032785
2021-06-30,0.251103
2021-07-31,1.727515
2021-08-31,1.231779
2021-09-30,0.906379
2021-10-31,0.5703625
2021-11-30,0.261846
2021-12-31,0.135181
2022-01-31,0.335625
2022-02-28,0.685684
2022-03-31,0.066796
2022-04-30,0.011551
2022-05-31,0.0487085
2022-06-30,1.194799
2022-07-31,0.85014
2022-08-31,1.40949825
2022-09-30,0.6564075
2022-10-31,0.6596029999999999
2022-11-30,0.3725766666666667
2022-12-31,0.1172745
2023-01-31,
2023-02-28,0.3906272
2023-03-31,0.07962025
2023-04-30,0.027878
2023-05-31,
2023-06-30,0.024739499999999998
2023-07-31,
2023-08-31,
2023-09-30,0.649038
2023-10-31,0.7261905
2023-11-30,0.3320495
2023-12-31,0.1537582
2024-01-31,0.19731666666666667
2024-02-29,0.68679025
2024-03-31,0.081797
2024-04-30,0.02552725
2024-05-31,0.0122898
2024-06-30,0.0499985
2024-07-31,
2024-08-31,
2024-09-30,0.5071736666666666
2024-10-31,0.63191775
2024-11-30,0.33586520000000003
2024-12-31,0.1275485
2025-01-31,0.1881
2025-02-28,0.6655300000000001
2025-03-31,
2025-04-30,
2025-05-31,
2025-06-30,0.32364166666666666
2025-07-31,0.5869025
2025-08-31,2.1195588
2025-09-30,0.84934275
